store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
591,Remaining US,805 Us Highway 27 S,Cynthiana,KY,41031-6888,38.378121,-84.306022,,Combined Stockroom,Huntington,Open
592,"Wichita, KS",2020 N Nelson Dr,Derby,KS,67037-2572,37.568988,-97.274999,,Seafood Internal Plus High,Wichita,Open
593,"Douglas, GA",1450 Bowens Mill Rd Se,Douglas,GA,31533-1500,31.484988,-82.848351,,Seafood (Other),Hinesville,Open
594,"Atlanta-Sandy Springs-Roswell, GA",125 Pavilion Pkwy,Fayetteville,GA,30214-4098,33.481229,-84.443222,,Modified Split,Atlanta South,Open
595,"Brownsville-Harlingen, TX",1801 W Lincoln St,Harlingen,TX,78552-5909,26.180679,-97.716961,,Seafood Internal Plus,Brownsville,Open
598,"Kearney, NE",5411 2nd Ave,Kearney,NE,68847-2435,40.726458,-99.081222,,Expansion (Full) Plus,North Platte,Open
599,"Kingsport-Bristol-Bristol, TN-VA",3200 Ft Henry Drive,Kingsport,TN,37664-4022,36.508708,-82.519174,In-Lane,Seafood Internal,Kingsport,Open
600,"Pampa, TX",2801 No. Charles St.,Pampa,TX,79065-2824,35.570113,-100.969754,,Other (Non-Proto),Northwest TX,Open
601,"San Angelo, TX",5501 Sherwood Way,San Angelo,TX,76904-9738,31.426302,-100.509189,In-Lane,Seafood Internal,San Angelo,Open
602,"Houston-The Woodlands-Sugar Land, TX",1025 Sawdust Rd,Spring,TX,77380-0000,30.123529,-95.457847,,Centennial,Houston,Open
603,"Peoria, IL",3320 Veterans Dr,Pekin,IL,61554-9317,40.537942,-89.594972,,Stockroom Middle High,Bloomington,Open
604,"Dothan, AL",4310 Montgomery Hwy,Dothan,AL,36303-1576,31.268096,-85.441104,,Seafood External,Dothan,Open
605,"Savannah, GA",1955 E Montgomery Xrd,Savannah,GA,31406-5036,31.986782,-81.082655,,Modified Split Backroom,Beaufort,Open
608,"Midland, TX",4517 N Midland Dr,Midland,TX,79707-3325,32.029818,-102.148734,Existing Rear,Expansion (Rear Backroom),Midland/Odessa,Open
609,"Hannibal, MO",3650 Stardust Dr,Hannibal,MO,63401-2480,39.724869,-91.400117,,Tenant,Springfield-IL,Open
611,"Roswell, NM",4500 N Main St Ste A,Roswell,NM,88201-0305,33.450053,-104.526882,,Seafood Internal,Las Cruces,Open
613,"Deltona-Daytona Beach-Ormond Beach, FL",1521 W Granada Blvd,Ormond Beach,FL,32174-5920,29.258852,-81.115002,In-Lane,Seafood Internal,Daytona,Open
614,"LaGrange, GA",803 New Franklin Rd,Lagrange,GA,30240-1843,33.059756,-85.031238,,Stockroom Middle,Columbus-GA,Open
616,"Orangeburg, SC",2795 North Rd,Orangeburg,SC,29118-2806,33.524181,-80.891091,,Seafood Internal Plus,Columbia SC,Open
618,"Atlanta-Sandy Springs-Roswell, GA",4166 Jimmy Lee Smith Pkwy,Hiram,GA,30141-2647,33.890799,-84.758949,,Seafood Internal Plus,Atlanta North,Open
619,"Dayton, TN",3034 Rhea County Hwy,Dayton,TN,37321-5806,35.460409,-85.043798,,Tenant,Chattanooga,Open
620,"Kingsport-Bristol-Bristol, TN-VA",220 Century Blvd,Bristol,TN,37620-6721,36.545393,-82.235025,,Rear Backroom,Kingsport,Open
621,"Florence, SC",900 Us 52 Hwy,Lake City,SC,29560-2416,33.892514,-79.751579,,Trifecta Modified Split,Florence-SC,Open
622,"Oklahoma City, OK",7800 N.W. Expressway,Oklahoma City,OK,73132-1554,35.562471,-97.653956,,Seafood External High,OKC North,Open
623,"Cape Coral-Fort Myers, FL",545 Pine Island Rd,North Fort Myers,FL,33903-3764,26.679515,-81.898496,,Seafood Internal Plus,Fort Myers/Naples,Open
624,"Newberry, SC",2812 Main St,Newberry,SC,29108-4134,34.280226,-81.592373,,Tenant,,Open
625,"Georgetown, SC",1310 N Fraser St,Georgetown,SC,29440-2800,33.393896,-79.286476,,Seafood Internal Plus,Myrtle Beach,Open
628,"Charleston-North Charleston, SC",9880 Dorchester Rd,Summerville,SC,29485-8545,32.950336,-80.155096,,Seafood External,Charleston,Open
630,"Florence, SC",230 N Beltline Dr,Florence,SC,29501-7403,34.193247,-79.821009,In-Lane,Centennial Split High,Florence-SC,Open
631,"Greenville-Anderson-Mauldin, SC",115 Rolling Hills Cir,Easley,SC,29640-7109,34.828482,-82.549477,Tenant,Centennial Split High,Greenville North,Open
632,"Charleston-North Charleston, SC",1481 N Highway 17,Mount Pleasant,SC,29464-3332,32.814101,-79.845483,,Other (Non-Proto),Charleston,Open
634,"Columbia, SC",2240 W Dekalb St,Camden,SC,29020-2069,34.250852,-80.649795,,Tenant,Florence-SC,Open
635,"Savannah, GA",6000 Ogeechee Rd,Savannah,GA,31419-9544,31.999776,-81.258028,,Seafood Internal,Savannah,Open
636,"Ottawa-Peru, IL",2111 Claude Bailey Pkwy,Princeton,IL,61356-8618,41.396549,-89.462833,,Combined Stockroom,Joliet,Open
637,"Lexington, NE",200 Frontier St,Lexington,NE,68850-5677,40.744902,-99.742518,,Combined Stockroom,North Platte,Open
638,"Gaffney, SC",165 Walton Dr,Gaffney,SC,29341-1268,35.087263,-81.665818,,Seafood External,Tega Cay,Open
639,"Brunswick, GA",150 Altama Connector,Brunswick,GA,31525-2203,31.212804,-81.485564,,Seafood Internal Plus,Hinesville,Open
640,"Greenville-Anderson-Mauldin, SC",1451 Woodruff Rd,Greenville,SC,29607-5741,34.822712,-82.281213,,Seafood Internal Plus High,Greenville North,Open
641,"Greenville-Anderson-Mauldin, SC",6134 White Horse Rd,Greenville,SC,29611-3837,34.856926,-82.454136,,Seafood External,Greenville North,Open
642,Remaining US,1040 Chesterfield Hwy,Cheraw,SC,29520-7010,34.701157,-79.931271,,Tenant,,Open
643,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",10820 Kings Rd,Myrtle Beach,SC,29572-6070,33.787262,-78.768471,In-Lane,Seafood Internal,Myrtle Beach,Open
645,"Norfolk, NE",2400 W Pasewalk Ave,Norfolk,NE,68701-4608,42.024062,-97.445242,,Other (Non-Proto),Lincoln,Open
648,"St. Louis, MO-IL",1661 Jungermann Rd,Saint Peters,MO,63304-2821,38.745007,-90.588538,,Trifecta Modified Split,St Louis,Open
649,"Palm Bay-Melbourne-Titusville, FL",3175 Cheney Hwy,Titusville,FL,32780-5979,28.555293,-80.842734,In-Lane,Seafood Internal,Palm Bay,Open
651,"Beaumont-Port Arthur, TX",4145 Dowlen Rd,Beaumont,TX,77706-6852,30.122842,-94.167424,,Seafood Internal Plus,Beaumont,Open
652,"Garden City, KS",3101 E Kansas Ave,Garden City,KS,67846-7070,37.986357,-100.836629,,Modified Seafood,Wichita,Open
653,"Clarksville, TN-KY",300 Clinic Dr,Hopkinsville,KY,42240-4989,36.830148,-87.469246,,Seafood Internal Plus High,Oak Grove,Open
655,"Madisonville, KY",420 Factory Outlet Dr,Hanson,KY,42413-9513,37.423625,-87.473826,,Split Backroom,Oak Grove,Open
656,"Shelbyville, TN",1880 N Main St,Shelbyville,TN,37160-2018,35.513194,-86.452061,,Tenant,Nashville,Open
657,"Cookeville, TN",768 S Jefferson Ave,Cookeville,TN,38501-4070,36.145067,-85.497052,,Modified Split,Nashville,Open
658,"Rome, GA",2510 Redmond Cir Nw,Rome,GA,30165-1913,34.275438,-85.229852,,Seafood Internal Plus,Atlanta North,Open
659,"Nashville-Davidson--Murfreesboro--Franklin, TN",7044 Charlotte Pike,Nashville,TN,37209-4210,36.131804,-86.907775,In-Lane,Seafood Internal,Nashville,Open
660,"Florence-Muscle Shoals, AL",301 Avalon Ave,Muscle Shoals,AL,35661-2811,34.747901,-87.673729,Inlane,Seafood Internal Plus,Huntsville,Open
661,"Huntsville, AL",1011 Us Highway 72 E,Athens,AL,35611-4319,34.788552,-86.958843,,Seafood Internal Plus High,Huntsville,Open
662,"Decatur, AL",2800 Spring Avn. S.W,Decatur,AL,35603-1218,34.556564,-86.995961,Inlane,Modified Split,Tupelo,Open
663,"Athens, TN",1815 Decatur Pike,Athens,TN,37303-4932,35.452751,-84.631573,,Centennial,Chattanooga,Open
664,"Hays, KS",4301 Vine St,Hays,KS,67601-9484,38.903256,-99.321237,,Modified Seafood,Wichita,Open
666,"Sebring, FL",3525 Us Highway 27 N,Sebring,FL,33870-1640,27.512875,-81.497041,,Modified Split,Lakeland,Open
667,"Tullahoma-Manchester, TN",2111 N Jackson St,Tullahoma,TN,37388-2207,35.389876,-86.239933,,Other (Non-Proto),Nashville,Open
668,"McMinnville, TN",915 N Chancery St,Mcminnville,TN,37110-1504,35.698795,-85.788308,,Seafood Internal Plus,Nashville,Open
669,"Dalton, GA",2545 E Walnut Ave,Dalton,GA,30721-8799,34.767718,-84.930049,,Modified Seafood,Atlanta North,Open
670,"Cullman, AL",626 Olive St Sw,Cullman,AL,35055-5594,34.149151,-86.842058,,Modified Seafood,Birmingham,Open
671,"Nashville-Davidson--Murfreesboro--Franklin, TN",615 S Cumberland St,Lebanon,TN,37087-5107,36.191928,-86.291516,,Expansion (Full) Plus,Nashville,Open
672,"Knoxville, TN",1030 Hunters Crossin,Alcoa,TN,37701-1849,35.771328,-83.991785,,,Knoxville,Open
673,"Clarksville, TN-KY",3050 Wilma Rudolph Blvd,Clarksville,TN,37040-5031,36.594671,-87.290985,,Seafood Internal High,Clarksville,Open
674,"Nashville-Davidson--Murfreesboro--Franklin, TN",1112 Nashville Pike,Gallatin,TN,37066-7116,36.376902,-86.476875,,Seafood Internal Plus High,Nashville,Open
675,"Union City, TN-KY",1601 W Reelfoot Ave,Union City,TN,38261-5554,36.413982,-89.080451,,Tenant,Jackson TN,Open
676,"Knoxville, TN",1102 No. Gateway Ave,Rockwood,TN,37854-4012,35.879845,-84.657533,,Rear Backroom,Knoxville,Open
677,"Dyersburg, TN",2650 Lake Rd,Dyersburg,TN,38024-1656,36.063412,-89.391879,,Tenant,Jackson TN,Open
680,"Greeneville, TN",3755 E Andrew Johnson Hwy,Greeneville,TN,37745-1084,36.187722,-82.759481,,Centennial,Knoxville,Open
681,"Albertville, AL",11697 Us Highway 431,Guntersville,AL,35976-5667,34.299417,-86.278983,,Expansion (Full),Birmingham,Open
682,"Nashville-Davidson--Murfreesboro--Franklin, TN",2000 Old Fort Pkwy,Murfreesboro,TN,37129-6907,35.850243,-86.427828,,Modified Seafood,Nashville,Open
683,"Lawrenceburg, TN",2130 N Locust Ave,Lawrenceburg,TN,38464-4456,35.273392,-87.314905,,Scratch Bakery Alt,Jackson TN,Open
684,Remaining US,547 W Church St,Lexington,TN,38351-1703,35.654551,-88.411605,,Modified Rear Backroom,Jackson TN,Open
685,"Morristown, TN",475 Crockett Trace Dr,Morristown,TN,37813-1902,36.213757,-83.255027,In-Lane,Seafood Internal,Knoxville,Open
686,"Fitzgerald, GA",120 Benjamin H Hill Dr W,Fitzgerald,GA,31750-8607,31.689987,-83.248209,,Tenant,Hinesville,Open
687,"Crossville, TN",168 Obed Plz Ste 108,Crossville,TN,38555-8890,35.983318,-85.035714,,Seafood Internal Plus High,Knoxville,Open
688,"Nashville-Davidson--Murfreesboro--Franklin, TN",5824 Nolensville Pike,Nashville,TN,37211-6502,36.041872,-86.709067,,Centennial,Nashville,Open
689,"Somerset, KY",177 Washington Dr,Somerset,KY,42501-2938,37.068319,-84.623423,,Seafood External,Middlesborough,Open
690,"Johnson City, TN",1001 Over Mountain Dr,Elizabethton,TN,37643-2855,36.349286,-82.245425,,Stockroom Middle,Kingsport,Open
691,Remaining US,2001 Glenn Blvd Sw,Fort Payne,AL,35968-3535,34.440139,-85.761831,,Rear Backroom,Birmingham,Open
692,"Danville, KY",100 Walton Ave,Danville,KY,40422-8414,37.614602,-84.771828,,Expansion (Full) Plus,Bowling Green,Open
694,"Evansville, IN-KY",1195 Barrett Blvd,Henderson,KY,42420-7508,37.856229,-87.566198,In-Lane,Centennial Split High,Evansville,Open
695,"Nashville-Davidson--Murfreesboro--Franklin, TN",2232 Gallatin Pike,Madison,TN,37115-2006,36.308848,-86.686292,,Split Backroom,Clarksville,Open
697,"Ocala, FL",2600 Sw 19th Avenue Rd,Ocala,FL,34471-1393,29.157797,-82.166446,,Seafood External,Gainesville,Open
698,"Cleveland, TN",4495 Keith St Nw,Cleveland,TN,37312-4820,35.202144,-84.848736,,Modified Split Backroom,Chattanooga,Open
699,"Oxford, MS",2530 Jackson Ave W,Oxford,MS,38655-5403,34.359971,-89.564548,,Seafood Internal,Tupelo,Open
700,"Selma, AL",1501 Al Highway 14 E,Selma,AL,36703-3201,32.434137,-87.012949,,Tenant,Tuscaloosa,Open
701,"Owensboro, KY",5031 Frederica St,Owensboro,KY,42301-7410,37.719857,-87.121985,,Seafood Internal Plus High,Evansville,Open
702,"Lexington-Fayette, KY",1859 Bypass Rd,Winchester,KY,40391-2713,37.987726,-84.210942,Tenant,Expansion (Ambient),Lexington,Open
703,"Houston-The Woodlands-Sugar Land, TX",27650 State Highway 249,Tomball,TX,77375-6518,30.075837,-95.624969,,Seafood External,Houston West,Open
705,"Orlando-Kissimmee-Sanford, FL",17030 Us Highway 441,Mount Dora,FL,32757-6733,28.817715,-81.673133,,Rear Backroom (Other),Orlando,Open
706,"Tampa-St. Petersburg-Clearwater, FL",7631 Gall Blvd,Zephyrhills,FL,33541-4321,28.269569,-82.191211,In-Lane,Seafood Internal,Tampa,Open
708,"Vicksburg, MS",2150 Iowa Blvd,Vicksburg,MS,39180-5572,32.307869,-90.891242,,Seafood Internal,Jackson,Open
709,"Elizabethtown-Fort Knox, KY",100 Walmart Dr,Elizabethtown,KY,42701-5548,37.732988,-85.881902,,Seafood Internal Plus High,Louisville South,Open
710,"Nashville-Davidson--Murfreesboro--Franklin, TN",4424 Lebanon Pike,Hermitage,TN,37076-1312,36.216456,-86.600622,Update Existing (Front),Stockroom Middle,Nashville,Open
711,"Glasgow, KY",2345 Happy Valley Rd,Glasgow,KY,42141-8076,37.020991,-85.937722,,Modified Split,Bowling Green,Open
712,"Scottsboro, AL",24833 John T Reid Pkwy,Scottsboro,AL,35768-2342,34.668443,-86.005791,,Modified Split,Birmingham,Open
715,"Tuscaloosa, AL",1501 Skyland Blvd E,Tuscaloosa,AL,35405-4231,33.165299,-87.518681,,Seafood Internal Plus High,Tuscaloosa,Open
716,"Greenwood, MS",2202 Highway 82 W,Greenwood,MS,38930-2706,33.529995,-90.221529,,Centennial,Tupelo,Open
718,"Lakeland-Winter Haven, FL",2120 Us Highway 92 W,Auburndale,FL,33823-3923,28.060081,-81.815984,,Expansion (Full) Plus,Lakeland,Open
719,"Richmond-Berea, KY",820 Eastern Byp,Richmond,KY,40475-2512,37.728455,-84.283157,,Seafood Internal Plus High,Middlesborough,Open
720,"Frankfort, KY",301 Leonardwood Rd,Frankfort,KY,40601-6531,38.160546,-84.899191,,Seafood Internal Plus,Lexington,Open
721,"Punta Gorda, FL",19100 Murdock Cir,Port Charlotte,FL,33948-1022,27.013871,-82.139682,,Seafood Internal Plus High,Punta Gorda,Open
722,"Atlanta-Sandy Springs-Roswell, GA",1735 S Highway 27,Carrollton,GA,30117-8941,33.543222,-85.077293,In-Lane,Centennial,Atlanta South,Open
723,"Troy, AL",1420 Highway 231 S,Troy,AL,36081-2504,31.780755,-85.939323,,Expansion (Frozen),Dothan,Open
725,"Lakeland-Winter Haven, FL",36205 Us Highway 27,Haines City,FL,33844-3744,28.126013,-81.636853,,Rear Backroom,Lakeland,Open
727,"Cedartown, GA",1585 Rome Hwy,Cedartown,GA,30125-4402,34.046304,-85.239777,,Tenant,,Open
728,"Hilton Head Island-Bluffton-Beaufort, SC",25 Pembroke Dr,Hilton Head Island,SC,29926-2259,32.211638,-80.728692,,Tenant,Beaufort,Open
729,"Bardstown, KY",3795 E John Rowan Blvd,Bardstown,KY,40004-3214,37.800012,-85.436436,,Stockroom Middle High,Louisville South,Open
730,"Talladega-Sylacauga, AL",41301 Us Highway 280,Sylacauga,AL,35150-8046,33.175908,-86.285403,,Tenant,Auburn,Open
731,Remaining US,969 Us Highway 80 W,Demopolis,AL,36732-4102,32.493017,-87.849283,,Combined Stockroom,Tuscaloosa,Open
733,"Valley, AL",3501 20th Ave,Valley,AL,36854-3206,32.834994,-85.178765,,Tenant,Auburn,Open
734,"Enterprise, AL",600 Boll Weevil Cir,Enterprise,AL,36330-2715,31.315813,-85.826521,,Seafood Internal Plus,Dothan,Open
735,"Tullahoma-Manchester, TN",2675 Decherd Blvd,Winchester,TN,37398-1166,35.217695,-86.104115,,Other (Non-Proto),Nashville,Open
736,Remaining US,120 Sam Walton Dr,Russellville,KY,42276-9311,36.845981,-86.916431,,Tenant,Oak Grove,Open
737,"Lewisburg, TN",1334 No. Ellington P,Lewisburg,TN,37091-2218,35.471175,-86.791563,,Other (Non-Proto),Nashville,Open
738,Remaining US,2200 Highway 641 N,Camden,TN,38320-5276,36.088981,-88.109279,,Long Modified Split,Jackson TN,Open
739,"Middlesborough, KY",Us Hwy 441 Hwy 25e,Middlesboro,KY,40965-1896,36.622193,-83.707732,,Modified Split Backroom,Middlesborough,Open
740,"Ozark, AL",1537 S Us Highway 231,Ozark,AL,36360-2846,31.445222,-85.650719,,Long Modified Split,Dothan,Open
742,"Kingsport-Bristol-Bristol, TN-VA",2500 W Stone Dr,Kingsport,TN,37660-2356,36.557341,-82.603569,,Seafood Internal High,Kingsport,Open
743,"Oklahoma City, OK",100 East I-240 Service Rd,Oklahoma City,OK,73149-1612,35.388988,-97.510973,,Seafood Internal,OKC South,Open
744,"Houston-The Woodlands-Sugar Land, TX",6626 Fm 1960 Rd E,Humble,TX,77346-2712,29.995677,-95.176227,In-Lane,Seafood External,Houston,Open
745,"Atlanta-Sandy Springs-Roswell, GA",5600 N Henry Blvd,Stockbridge,GA,30281-3246,33.553227,-84.255353,,Rear Backroom,Atlanta South,Open
746,"Killeen-Temple, TX",3401 S 31st St,Temple,TX,76502-1902,31.066173,-97.367171,,Seafood External High,Temple,Open
748,"Newton, IA",300 Iowa Speedway Dr,Newton,IA,50208-9484,41.697225,-93.011793,,Tenant,Des Moines North,Open
749,"Ames, IA",3105 Grand Ave,Ames,IA,50010-4201,42.053337,-93.622036,Inlane,Tenant,Des Moines North,Open
750,Remaining US,302 Enterprise Dr,Independence,IA,50644-9601,42.452004,-91.893226,,Small SC Side Stockroom,Cedar Falls-Waterloo,Open
752,"Houston-The Woodlands-Sugar Land, TX",5200 Fairmont Pkwy,Pasadena,TX,77505-3802,29.646566,-95.161422,,Centennial,Houston Southeast,Open
753,"Waterloo-Cedar Falls, IA",525 Brandilynn Blvd,Cedar Falls,IA,50613-7416,42.486901,-92.440136,Update Existing (Front),Stockroom Middle High,Cedar Falls-Waterloo,Open
754,"Statesboro, GA",147 Northside Dr E,Statesboro,GA,30458-4766,32.434155,-81.759548,,Seafood Internal Plus High,Augusta,Open
755,"Amarillo, TX",4610 S Coulter St,Amarillo,TX,79119-6403,35.159756,-101.923552,,Seafood Internal Plus High,Northwest TX,Open
756,"Summerville, GA",13427 Highway 27,Trion,GA,30753-1549,34.521792,-85.316533,,Combined Stockroom,Atlanta North,Open
757,"San Antonio-New Braunfels, TX",2151 W Oaklawn Rd,Pleasanton,TX,78064-4604,28.937877,-98.512443,,Rear Backroom,San Antonio South,Open
761,"Houma-Thibodaux, LA",4858 Highway 1,Raceland,LA,70394-2627,29.691037,-90.554312,,,Thibodaux,Open
764,"Birmingham-Hoover, AL",750 Academy Dr,Bessemer,AL,35022-5200,33.361589,-87.001926,,Seafood Internal Plus High,Birmingham South,Open
765,"San Antonio-New Braunfels, TX",16503 Nacogdoches Rd,San Antonio,TX,78247-1010,29.591752,-98.355744,,Seafood Internal,San Antonio North,Open
766,"Florence-Muscle Shoals, AL",3100 Hough Rd,Florence,AL,35630-6902,34.834305,-87.625777,Inlane,Seafood Internal Plus High,Huntsville,Open
767,"Lake City, FL",2767 W Us Highway 90,Lake City,FL,32055-4755,30.181309,-82.677456,,Seafood Internal Plus High,Jacksonville,Open
768,"Houston-The Woodlands-Sugar Land, TX",1313 N Fry Rd,Katy,TX,77449-3343,29.788989,-95.722124,,Seafood Internal,Houston West,Open
769,"North Port-Sarasota-Bradenton, FL",4150 Tamiami Trl S,Venice,FL,34293-5130,27.047691,-82.395751,,Seafood Internal Plus High,Sarasota,Open
770,"Great Bend, KS",3503 10th St,Great Bend,KS,67530-3538,38.358995,-98.787211,,Stockroom Middle,Wichita,Open
771,"Palm Bay-Melbourne-Titusville, FL",1500 E Merritt Island Cswy,Merritt Island,FL,32952-2612,28.359635,-80.668451,,Seafood Internal Plus,Palm Bay,Open
772,"Houston-The Woodlands-Sugar Land, TX",3506 Highway 6 S,Houston,TX,77082-4204,29.721258,-95.647439,,Stockroom Middle,Houston,Open
773,"Opelousas, LA",1538 Highway 190,Eunice,LA,70535-2942,30.491451,-92.446982,,Centennial,Alexandria LA,Open
774,"Columbus, NE",818 E 23rd St,Columbus,NE,68601-3866,41.441248,-97.316973,,Centennial,Lincoln,Open
775,"Galesburg, IL",659 Knox Square Dr,Galesburg,IL,61401-8605,40.981599,-90.360042,,Centennial,Springfield-IL,Open
776,"Fremont, NE",3010 E 23rd St,Fremont,NE,68025-2479,41.453294,-96.457696,,Seafood Internal Plus,Omaha,Open
777,"Beaumont-Port Arthur, TX",3115 Edgar Brown Dr,West Orange,TX,77630-5347,30.090502,-93.765451,,Seafood Internal Plus High,Beaumont,Open
778,"Punta Gorda, FL",5001 Taylor Rd,Punta Gorda,FL,33950-4722,26.893302,-82.013115,Update Existing (Front),Centennial,Punta Gorda,Open
779,"Lakeland-Winter Haven, FL",3501 S Florida Ave,Lakeland,FL,33803-4860,28.000784,-81.959485,,Expansion (Full),Lakeland,Open
780,"Atlanta-Sandy Springs-Roswell, GA",2050 W Spring St,Monroe,GA,30655-3164,33.798295,-83.742185,In-Lane,Modified Rear Backroom,Atlanta South,Open
781,Remaining US,2700 Us Highway 281,Marble Falls,TX,78654-3878,30.599475,-98.271812,,Seafood Internal Plus,Killeen,Open
784,Remaining US,1045 N Grand Ave,Mount Pleasant,IA,52641-3111,40.979041,-91.541849,,Tenant,Iowa City,Open
785,Remaining US,1350 Azalea Dr,Waynesboro,MS,39367-2257,31.688899,-88.629585,,Combined Stockroom,Hattiesburg,Open
786,"Chicago-Naperville-Elgin, IL-IN-WI",2300 Sycamore Rd,Dekalb,IL,60115-2067,41.949344,-88.721519,Inlane,Seafood Internal Plus High,Northern IL,Open
789,"Dallas-Fort Worth-Arlington, TX",200 Us Highway 80 E,Mesquite,TX,75149-1656,32.788942,-96.599302,,Seafood External,Dallas Northeast,Open
790,Remaining US,1902 W B St,Mccook,NE,69001-3579,40.198582,-100.652257,,Expansion (Full),North Platte,Open
791,"Alice, TX",2701 E Main St,Alice,TX,78332-4194,27.769731,-98.043504,,Modified Split,Corpus Christi,Open
793,"Amarillo, TX",1701 N 23rd St,Canyon,TX,79015-7962,34.998002,-101.922569,,Other (Non-Proto),Northwest TX,Open
794,"Hutchinson, KS",1905 E 17th Ave,Hutchinson,KS,67501-1103,38.070207,-97.892303,In-Lane,Seafood Internal,Wichita,Open
796,"Ottawa-Peru, IL",5307 Rt. 251,Peru,IL,61354-9313,41.373099,-89.122693,,Centennial Split,Springfield-IL,Open
797,"Burlington, IA-IL",324 W Agency Rd,West Burlington,IA,52655-1674,40.814226,-91.160891,,Seafood Internal Plus,Cedar Falls-Waterloo,Open
799,"Liberal, KS",250 E Tucker Rd,Liberal,KS,67901-2188,37.066939,-100.917429,,Tenant,Wichita,Open
800,"Orlando-Kissimmee-Sanford, FL",2501 Citrus Blvd,Leesburg,FL,34748-7204,28.842541,-81.898976,,Seafood External,Orlando,Open
801,"Maryville, MO",1605 S Main St,Maryville,MO,64468-2611,40.330026,-94.870115,,Combined Stockroom,Kansas City,Open
803,"Bogalusa, LA",401 Ontario Ave,Bogalusa,LA,70427-2610,30.793552,-89.865115,,HEP,"New Orleans North
",Open
804,"Mineral Wells, TX",601 No. Fm 1821,Mineral Wells,TX,76067-9119,32.813505,-98.086072,,Centennial Split,Dallas West,Open
805,"St. Louis, MO-IL",653 Gravois Bluffs Blvd,Fenton,MO,63026-7716,38.509823,-90.438744,,Modified Split,St Louis,Open
806,"Las Cruces, NM",571 Walton Blvd,Las Cruces,NM,88001-8449,32.314418,-106.749936,,Seafood Internal,Las Cruces,Open
807,"Dallas-Fort Worth-Arlington, TX",6401 Ne Loop 820,North Richland Hills,TX,76180-6041,32.842647,-97.246564,,Seafood External High,Dallas Central,Open
808,"Houston-The Woodlands-Sugar Land, TX",121 Highway 332 W,Lake Jackson,TX,77566-4028,29.045442,-95.458855,,Seafood Internal,Houston Southeast,Open
809,"Anniston-Oxford-Jacksonville, AL",92 Plaza Ln,Oxford,AL,36203-2440,33.598998,-85.832345,,Other (Non-Proto),Auburn,Open
810,"Mason City, IA",4151 4th St Sw,Mason City,IA,50401-7346,43.145527,-93.262486,,Seafood Internal High,Sioux City,Open
812,"Dumas, TX",2003 S Dumas Ave,Dumas,TX,79029-6101,35.839991,-101.970754,,Tenant,Northwest TX,Open
813,"Brownwood, TX",401 W Commerce St,Brownwood,TX,76801-1701,31.731844,-98.981859,,Seafood Internal Plus High,Killeen,Open
814,"Okeechobee, FL",2101 S Parrott Ave,Okeechobee,FL,34974-6160,27.221349,-80.828061,,Rear Backroom (Other),Fort Lauderdale/West Palm Beach,Open
815,Remaining US,4252 Highway 54,Osage Beach,MO,65065-2171,38.149554,-92.615956,,Other (Non-Proto),St Louis South,Open
816,"Brookhaven, MS",960 Brookway Blvd,Brookhaven,MS,39601-2644,31.582115,-90.468545,,Seafood Internal Plus High,Hattiesburg,Open
817,"Orlando-Kissimmee-Sanford, FL",4444 W Vine St,Kissimmee,FL,34746-5315,28.301786,-81.458738,Other Income,Seafood Internal Plus,West Orlando,Open
818,"Panama City, FL",10270 Front Beach Rd,Panama City Beach,FL,32407-3808,30.180287,-85.804892,In-Lane,Seafood Internal Plus High,Panama City,Open
819,"Cape Coral-Fort Myers, FL",1619 Del Prado Blvd S,Cape Coral,FL,33990-3713,26.620881,-81.937051,,Seafood Internal Plus High,Fort Myers/Naples,Open
820,Remaining US,2150 Main St,Boonville,MO,65233-1941,38.951569,-92.739687,,Centennial Split Lite,Columbia MO,Open
821,"Clovis, NM",3728 N Prince St,Clovis,NM,88101-9744,34.437731,-103.200408,,Seafood External,Northwest TX,Open
822,"Amarillo, TX",3700 E Interstate 40,Amarillo,TX,79103-6127,35.189773,-101.793394,,Seafood Internal,Northwest TX,Open
823,"Ponca City, OK",1101 E Prospect Ave,Ponca City,OK,74601-1744,36.741172,-97.071964,,Rear Backroom,Tulsa,Open
824,"Albuquerque, NM",8000 Academy Rd Ne,Albuquerque,NM,87111-1159,35.144698,-106.549868,,Other (Non-Proto),Albuqueque,Open
826,"Farmington, NM",4600 E Main St,Farmington,NM,87402-8663,36.767987,-108.151504,,Modified Split Backroom,Las Cruces,Open
827,Remaining US,603 E Highway 243,Canton,TX,75103-2420,32.543343,-95.854543,,Tenant,Dallas East,Open
828,"Indianapolis-Carmel-Anderson, IN",2373 E Main St,Plainfield,IN,46168-2717,39.711558,-86.367743,,Centennial,Indianapolis South,Open
831,"Albuquerque, NM",301 San Mateo Blvd Se,Albuquerque,NM,87108-2919,35.076168,-106.587821,,Seafood Internal High,Albuqueque,Open
833,Remaining US,1344 Illinois Hwy #1,Carmi,IL,62821-2404,38.073728,-88.190385,,Small SC Corridor,Lafayette-IN,Open
835,"Albuquerque, NM",400 Eubank Blvd Ne,Albuquerque,NM,87123-2758,35.079521,-106.529571,,Modified Split Backroom,Albuqueque,Open
